"","NIF","rendicionCuentasID","tipoYNombre","cumple2013","cumple2014","cumple2015"
"210","B39543913",5743,"Ayuntamiento Argoños","TRUE","TRUE","TRUE"
"211","B39725775",5790,"Ayuntamiento Piélagos","TRUE","TRUE","TRUE"
"212","B39750336",5825,"Ayuntamiento Torrelavega","TRUE","TRUE","TRUE"
"213","B39755947",5785,"Ayuntamiento Noja","TRUE","TRUE",NA
"214","B53952263",139,"Ayuntamiento Albatera","TRUE","TRUE","TRUE"
"215","B54133145",183,"Ayuntamiento Calp","TRUE","TRUE",NA
"216","B54425376",263,"Ayuntamiento Teulada","TRUE","TRUE",NA
"217","B54470323",225,"Ayuntamiento Mutxamel","TRUE","TRUE","TRUE"
"218","B54478037",228,"Ayuntamiento Ondara","TRUE","TRUE","TRUE"
"219","B57162232",837,"Ayuntamiento Pollença","TRUE","TRUE","TRUE"
"220","B57426736",851,"Ayuntamiento Santanyí","TRUE","TRUE","TRUE"
"221","B57622805",838,"Ayuntamiento Porreres","TRUE","TRUE",NA
"222","B73015448",4588,"Ayuntamiento Puerto Lumbreras","TRUE","TRUE","TRUE"
"223","B73037103",4563,"Ayuntamiento Archena","TRUE","TRUE","TRUE"
"224","B73082281",4584,"Ayuntamiento Mula","TRUE",NA,NA
"225","B73090938",4595,"Ayuntamiento Totana","TRUE",NA,NA
"226","B73186462",4593,"Ayuntamiento Torre-Pacheco","TRUE","TRUE",NA
"227","B73191504",4571,"Ayuntamiento Cehegín","TRUE","TRUE","TRUE"
"228","B73195737",4557,"Ayuntamiento Albudeite","TRUE","TRUE",NA
"229","B73239238",4578,"Ayuntamiento Librilla","TRUE","TRUE",NA
"230","B73288029",4569,"Ayuntamiento Caravaca de la Cruz","TRUE",NA,NA
"231","B73313082",4591,"Ayuntamiento San Pedro del Pinatar","TRUE","TRUE","TRUE"
"232","B73339863",4568,"Ayuntamiento Campos del Río","TRUE","TRUE",NA
"233","B73375057",4566,"Ayuntamiento Bullas","TRUE","TRUE","TRUE"
"234","B73462996",4555,"Ayuntamiento Abarán","TRUE","TRUE","TRUE"
"235","B73636201",4582,"Ayuntamiento Molina de Segura","TRUE","TRUE",NA
"236","B76518943",5704,"Ayuntamiento Guía de Isora","TRUE","TRUE","TRUE"
"237","B81136756",4422,"Ayuntamiento Torremocha de Jarama","TRUE","TRUE","TRUE"
"238","B82581430",4423,"Ayuntamiento Torres de la Alameda","TRUE","TRUE","TRUE"
"239","B83225300",4361,"Ayuntamiento Montejo de la Sierra","TRUE","TRUE","TRUE"
"240","B84078559",4289,"Ayuntamiento El Atazar","TRUE",NA,"TRUE"
"241","B84130004",4363,"Ayuntamiento Moralzarzal","TRUE","TRUE",NA
"242","B84302926",4344,"Ayuntamiento Horcajuelo de la Sierra","TRUE",NA,NA
"243","B84388883",4312,"Ayuntamiento Cervera de Buitrago","TRUE","TRUE","TRUE"
"244","B84408715",4414,"Ayuntamiento Talamanca de Jarama","TRUE","TRUE","TRUE"
"245","B84513423",4335,"Ayuntamiento Garganta de los Montes","TRUE","TRUE","TRUE"
"246","B85212090",4294,"Ayuntamiento Berzosa del Lozoya","TRUE","TRUE","TRUE"
"247","B85637445",4327,"Ayuntamiento El Escorial","TRUE","TRUE","TRUE"
"248","B92499714",4521,"Ayuntamiento Manilva","TRUE","TRUE","TRUE"
"249","B92822998",4514,"Ayuntamiento Istán","TRUE",NA,NA
"250","B92953900",4494,"Ayuntamiento Casares","TRUE","TRUE",NA
"251","G03140951",275,"Ayuntamiento Villena","TRUE","TRUE","TRUE"
"252","G03206422",234,"Ayuntamiento Pedreguer","TRUE","TRUE","TRUE"
"253","G04234811",311,"Ayuntamiento Cuevas del Almanzora","TRUE","TRUE",NA
"254","G06122303",786,"Ayuntamiento Zafra","TRUE","TRUE",NA
"255","G07162175",820,"Ayuntamiento Inca","TRUE","TRUE","TRUE"
"256","G07231202",808,"Ayuntamiento Ciutadella de Menorca","TRUE","TRUE","TRUE"
"257","G07471311",816,"Ayuntamiento Felanitx","TRUE","TRUE","TRUE"
"258","G08802043",873,"Ayuntamiento Badalona","TRUE","TRUE","TRUE"
"259","G10163426",1742,"Ayuntamiento Valencia de Alcántara","TRUE","TRUE","TRUE"
"260","G10166221",1587,"Ayuntamiento Casar de Cáceres","TRUE","TRUE","TRUE"
"261","G10291227",1633,"Ayuntamiento Hervás","TRUE","TRUE",NA
"262","G10292027",1559,"Ayuntamiento Almoharín","TRUE","TRUE","TRUE"
"263","G11573896",1771,"Ayuntamiento Cádiz","TRUE",NA,NA
"264","G11579042",1790,"Ayuntamiento San Fernando","TRUE",NA,NA
"265","G12031720",1827,"Ayuntamiento Benicarló","TRUE","TRUE",NA
"266","G12091443",1832,"Ayuntamiento Burriana","TRUE",NA,NA
"267","G13029202",1994,"Ayuntamiento Miguelturra","TRUE","TRUE","TRUE"
"268","G13125695",2004,"Ayuntamiento Pozuelo de Calatrava","TRUE","TRUE","TRUE"
"269","G14039713",2060,"Ayuntamiento Córdoba","TRUE",NA,NA
"270","G15157159",2169,"Ayuntamiento Narón","TRUE","TRUE",NA
"271","G17044876",2620,"Ayuntamiento Santa Coloma de Farners","TRUE","TRUE","TRUE"
"272","G17165978",2585,"Ayuntamiento Ribes de Freser","TRUE","TRUE","TRUE"
"273","G17321993",2455,"Ayuntamiento Amer","TRUE","TRUE",NA
"274","G17891144",2530,"Ayuntamiento Jonquera","TRUE","TRUE","TRUE"
"275","G23031826",3543,"Ayuntamiento Jaén","TRUE",NA,NA
"276","G23062458",3519,"Ayuntamiento La Carolina","TRUE",NA,NA
"277","G23295801",3505,"Ayuntamiento Baeza","TRUE",NA,NA
"278","G23296411",3506,"Ayuntamiento Bailén","TRUE",NA,NA
"279","G23422975",3586,"Ayuntamiento Villacarrillo","TRUE","TRUE","TRUE"
"280","G25066853",3838,"Ayuntamiento Balaguer","TRUE","TRUE",NA
"281","G25221391",3823,"Ayuntamiento Almacelles","TRUE","TRUE","TRUE"
"282","G25226481",3807,"Ayuntamiento Agramunt","TRUE","TRUE","TRUE"
"283","G25230426",4007,"Ayuntamiento Torre de Cabdella","TRUE",NA,NA
"284","G27018878",4263,"Ayuntamiento Sarria","TRUE","TRUE",NA
"285","G29079977",4484,"Ayuntamiento El Burgo","TRUE","TRUE",NA
"286","G29676251",4532,"Ayuntamiento Pizarra","TRUE",NA,NA
"287","G30091300",4556,"Ayuntamiento Águilas","TRUE","TRUE","TRUE"
"288","G33357211",4973,"Ayuntamiento Cangas de Onís","TRUE","TRUE","TRUE"
"289","G33367343",5010,"Ayuntamiento Piloña","TRUE","TRUE","TRUE"
"290","G33409251",4978,"Ayuntamiento Castrillón","TRUE","TRUE","TRUE"
"291","G33647306",4976,"Ayuntamiento Carreño","TRUE","TRUE","TRUE"
"292","G33870437",4993,"Ayuntamiento Langreo","TRUE","TRUE",NA
"293","G36014819",5287,"Ayuntamiento Marín","TRUE",NA,NA
"294","G36186898",5283,"Ayuntamiento A Guarda","TRUE","TRUE","TRUE"
"295","G37242690",5392,"Ayuntamiento Candelario","TRUE","TRUE","TRUE"
"296","G62359815",1102,"Ayuntamiento Sant Salvador de Guardiola","TRUE",NA,NA
"297","G72126675",1767,"Ayuntamiento Benalup-Casas Viejas","TRUE",NA,NA
"298","G79376968",4404,"Ayuntamiento San Martín de Valdeiglesias","TRUE","TRUE","TRUE"
"299","J38048880",5722,"Ayuntamiento Santa Cruz de la Palma","TRUE","TRUE",NA
"300","P0200010G",110,"Ayuntamiento Pozo Cañada","TRUE","TRUE",NA
"301","P0200100F",48,"Ayuntamiento Abengibre","TRUE","TRUE","TRUE"
"302","P0200200D",49,"Ayuntamiento Alatoz","TRUE","TRUE","TRUE"
"303","P0200400J",51,"Ayuntamiento Albatana","TRUE","TRUE","TRUE"
"304","P0200500G",52,"Ayuntamiento Alborea","TRUE","TRUE","TRUE"
"305","P0200600E",53,"Ayuntamiento Alcadozo","TRUE","TRUE","TRUE"
"306","P0200700C",54,"Ayuntamiento Alcalá del Júcar","TRUE","TRUE","TRUE"
"307","P0200800A",55,"Ayuntamiento Alcaraz","TRUE","TRUE","TRUE"
"308","P0200900I",56,"Ayuntamiento Almansa","TRUE","TRUE","TRUE"
"309","P0201100E",58,"Ayuntamiento Ayna","TRUE","TRUE","TRUE"
"310","P0201200C",59,"Ayuntamiento Balazote","TRUE","TRUE","TRUE"
"311","P0201300A",61,"Ayuntamiento Balsa de Ves","TRUE","TRUE","TRUE"
"312","P0201400I",60,"Ayuntamiento El Ballestero","TRUE","TRUE",NA
"313","P0201500F",62,"Ayuntamiento Barrax","TRUE","TRUE",NA
"314","P0201600D",63,"Ayuntamiento Bienservida","TRUE","TRUE","TRUE"
"315","P0201800J",65,"Ayuntamiento Bonete","TRUE","TRUE","TRUE"
"316","P0201900H",66,"Ayuntamiento El Bonillo","TRUE","TRUE",NA
"317","P0202000F",67,"Ayuntamiento Carcelén","TRUE","TRUE","TRUE"
"318","P0202100D",68,"Ayuntamiento Casas de Juan Núñez","TRUE","TRUE","TRUE"
"319","P0202300J",70,"Ayuntamiento Casas de Ves","TRUE","TRUE","TRUE"
"320","P0202400H",71,"Ayuntamiento Casas-Ibáñez","TRUE","TRUE","TRUE"
"321","P0202600C",73,"Ayuntamiento Cenizate","TRUE","TRUE","TRUE"
"322","P0202700A",75,"Ayuntamiento Corral-Rubio","TRUE","TRUE",NA
"323","P0202800I",76,"Ayuntamiento Cotillas","TRUE","TRUE","TRUE"
"324","P0202800I",76,"Ayuntamiento Cotillas","TRUE","TRUE","TRUE"
"325","P0202900G",74,"Ayuntamiento Chinchilla de Monte-Aragón","TRUE",NA,NA
"326","P0203000E",77,"Ayuntamiento Elche de la Sierra","TRUE","TRUE","TRUE"
"327","P0203000E",77,"Ayuntamiento Elche de la Sierra","TRUE","TRUE","TRUE"
"328","P0203100C",78,"Ayuntamiento Férez","TRUE","TRUE","TRUE"
"329","P0203100C",78,"Ayuntamiento Férez","TRUE","TRUE","TRUE"
"330","P0203400G",81,"Ayuntamiento Fuentealbilla","TRUE","TRUE","TRUE"
"331","P0203400G",81,"Ayuntamiento Fuentealbilla","TRUE","TRUE","TRUE"
"332","P0203600B",83,"Ayuntamiento Golosalvo","TRUE","TRUE","TRUE"
"333","P0203600B",83,"Ayuntamiento Golosalvo","TRUE","TRUE","TRUE"
